"id","genres"
"6bLELAmHgltNbfZBjcaRjS",funk mandelao
"70xKWQ1IGhrMV75N3OKcqA",trap funk
"1WXbiUMl1AT9Inb619xPUg","rap baixada fluminense,trap brasileiro,trap carioca"
"6v4PBIzRAGaLp43LVureQc",funk carioca
"1mvpEXClANunyiHFtAXCxt","funk bh,funk carioca,funk mtg"
"0oNOkdVXXFaWC9tPb7Ol10","brazilian hip hop,trap brasileiro"
"7Lmrb6KcIzfkmgbtokjsAL","arrocha,batidao romantico,funk carioca,funk mtg,funk paulista"
"2XbYkRNqc0WKV871nxnOno",funk paulista
"4maKTxhTIDEnWKra7wEIMR","funk carioca,funk mtg,funk paulista"
"1Bp5RHQ2K9k986YoxNvACB","funk carioca,funk mtg,funk paulista"
"5nkzLizeD93QtabjeK4oyl","funk consciente,funk paulista"
"3hq7WoPJsrRP0KMSLhUgRz","arrocha,sertanejo,sertanejo universitario"
"1U1el3k54VvEUzo3ybLPlM",colombian pop
"2hVWBpjLW4Q7fboYz2pVYK",ghanaian alternative
"48HORs6F9P7IgdyKrk4MZC","arrocha,forro"
"4TU81hdJFiCuzvaPsajuUo","funk mtg,funk viral"
"0PLUhcaPtfTkL6ckBw0btt","funk bh,funk mtg"
"0MlMFTEEEk0uSwI4hYSxrq","funk bh,funk mtg"
"6XFc29m1ptfUNmaa1UTuBT",funk paulista
"0dMxJWycjt9JSslipcs3J6","funk carioca,funk paulista"
"2zWqENF4cnsd1nLmraG9IE",agronejo
"7gJN8W0589FisSYJS17K54",pop rap brasileiro
"3xJ3stRn1VTzH0EgGmF4hm","deboxe,funk capixaba,funk rj"
"6exBFuevXZvHrbP3oKtfWe","funk bh,funk mtg"
"5jJWDuZUhCy7cP7BH6Thf0","funk bh,funk mtg"
"5cj0lLjcoR7YOSnhnX0Po5","dance pop,pop"
"1OwYxVDNKP9JtSpp5E0uA4","funk bh,funk mtg"
"6Dzh6uXgA0QKVg1eIWxdDY",trap brasileiro
"3TJGVUkSJzk5ZPixMFczZX","arrocha,forro"
"5mBzms8INTkASOeSDLvwoe","funk mtg,rave funk"
"5DwizTSMRuMOEM1ylVOUYP",funk rj
"1CbQrKvCpEnekM3QMGJtXK","funk mtg,funk rj,funk viral"
"1YOVBTvznjiDvtAj4ExHeo",brazilian hip hop
"0xRXCcSX89eobfrshSVdyu","edm,pop dance,pop house,uk dance"
"1rIc4yTieeRq25NA3T8RQ5",funk consciente
