track_name,artist,bpm,energy,danceability,valence,acousticness,instrumentalness,liveness,speechiness,loudness,duration_ms,genre,is_hit,Unnamed: 0,id,artist_names,name,genres,key,mode,tempo,time_signature,artists_ids,groove_factor,commercial_appeal,energy_dance_ratio,vocal_presence,bpm_category,loudness_normalized,hit_potential_score,acoustic_electric_balance,is_music
Corcovado,Elis Regina,105.145,0.44,0.396,0.18,0.915,5.1e-05,0.697,0.0459,-9.062,232786.0,mpb,0.0,,,,,,,,,,,0.40524166666666667,0.58138,1.083743842364532,0.999949,1.0,0.8489666666666668,0.384538,0.16999999999999993,1.0
La Belle de Jour-Girassol - Ao Vivo,Alceu Valença;Orquestra Ouro Preto,105.032,0.581,0.326,0.614,0.286,0.000205,0.691,0.0384,-10.868,424786.0,mpb,1.0,,,,,,,,,,,0.41235333333333335,0.73692,1.7291666666666665,0.999795,1.0,0.8188666666666666,0.501192,0.572,1.0
Escrito Nas Estrelas,Tetê Espíndola,120.082,0.441,0.762,0.584,0.415,0.0,0.157,0.0429,-12.038,218535.0,mpb,1.0,,,,,,,,,,,0.6134366666666666,0.71322,0.5712435233160622,1.0,2.0,0.7993666666666667,0.625222,0.83,1.0
Como Nossos Pais,Elis Regina,143.721,0.498,0.491,0.478,0.3,0.0,0.0734,0.0821,-7.658,261600.0,mpb,0.0,,,,,,,,,,,0.534435,0.71462,0.9940119760479041,1.0,3.0,0.8723666666666666,0.512862,0.6,1.0
Beguine dodói,Elis Regina,111.673,0.333,0.728,0.399,0.69,0.0,0.0653,0.0791,-16.162,134973.0,mpb,0.0,,,,,,,,,,,0.5500216666666666,0.59798,0.45121951219512196,1.0,1.0,0.7306333333333334,0.530698,0.6200000000000001,1.0
Maior abandonado (Ao Vivo) - Live,Barão Vermelho,143.041,0.63,0.668,0.904,0.256,0.0267,0.162,0.041,-6.368,163693.0,mpb,0.0,,,,,,,,,,,0.6614016666666667,0.8979199999999999,0.9292035398230087,0.9733,3.0,0.8938666666666666,0.726792,0.512,1.0
Sabiá - Ao Vivo,Alceu Valença;Elba Ramalho;Geraldo Azevedo,158.143,0.819,0.493,0.624,0.575,0.0,0.724,0.117,-7.757,174760.0,mpb,1.0,,,,,,,,,,,0.6557716666666666,0.77203,1.6282306163021867,1.0,3.0,0.8707166666666667,0.644903,0.8500000000000001,1.0
Entre a Serpente e a Estrela (Amarillo By Money),Zé Ramalho,119.943,0.585,0.377,0.579,0.366,0.00451,0.242,0.0336,-8.894,179866.0,mpb,1.0,,,,,,,,,,,0.463905,0.74266,1.511627906976744,0.99549,1.0,0.8517666666666667,0.5163660000000001,0.732,1.0
Final Feliz,Jorge Vercillo;Djavan,89.059,0.593,0.598,0.336,0.76,0.0,0.107,0.0732,-7.012,228093.0,mpb,1.0,,,,,,,,,,,0.5253316666666666,0.66428,0.975328947368421,1.0,0.0,0.8831333333333333,0.550728,0.48,1.0
Canto de Oxum / Inscrição,Maria Bethânia,104.472,0.056,0.424,0.17,0.898,0.000105,0.11,0.0517,-20.06,314026.0,mpb,1.0,,,,,,,,,,,0.30291999999999997,0.4674,0.12903225806451613,0.999895,1.0,0.6656666666666666,0.26714000000000004,0.20399999999999996,1.0
Por Você,Frejat,122.87,0.33,0.622,0.376,0.464,0.0,0.0624,0.0291,-6.492,211816.0,mpb,1.0,,,,,,,,,,,0.5147833333333334,0.68548,0.5221518987341772,1.0,2.0,0.8918,0.491548,0.928,1.0
Que Seja Pra Ficar,Mariana Nolasco,113.921,0.372,0.779,0.314,0.635,0.000167,0.114,0.0333,-10.136,222911.0,mpb,1.0,,,,,,,,,,,0.5909683333333333,0.62424,0.4714828897338403,0.999833,1.0,0.8310666666666667,0.548424,0.73,1.0
Coisas Dentro das Coisas,5 a Seco,58.478,0.286,0.391,0.486,0.733,0.0,0.0948,0.0572,-10.177,180946.0,mpb,1.0,,,,,,,,,,,0.2813,0.6926300000000001,0.7132169576059849,1.0,0.0,0.8303833333333334,0.40866300000000005,0.534,1.0
Maktub,Kell Smith,139.898,0.418,0.644,0.245,0.402,5.34e-06,0.0959,0.0283,-8.199,217375.0,mpb,1.0,,,,,,,,,,,0.5805633333333333,0.61601,0.6391437308868501,0.99999466,2.0,0.8633500000000001,0.493601,0.804,1.0
Aliança,Tribalistas,132.983,0.314,0.641,0.335,0.96,3.61e-05,0.0991,0.032,-13.932,236970.0,mpb,1.0,,,,,,,,,,,0.5363383333333334,0.5946799999999999,0.4823348694316436,0.9999639,2.0,0.7677999999999999,0.47706800000000005,0.08000000000000007,1.0
O último romântico,Lulu Santos,129.864,0.494,0.716,0.805,0.62,1.28e-05,0.303,0.0288,-14.118,252306.0,mpb,1.0,,,,,,,,,,,0.62264,0.7808200000000001,0.6804407713498623,0.9999872,2.0,0.7646999999999999,0.673682,0.76,1.0
